,ConBase,ConStove,ConOven,ConDHW,Qheat,Qcool
0,0.142271667,0,0,0,0,0
1,0.153156667,0,0,0,0.013150695,0
2,0.141666667,0,0,0,0.012052144,0
3,0.141666667,0,0,0,0.010667897,0
4,0.143481667,0,0,0.001254,0.001046454,0
5,0.141666667,0,0,0.0550715,0,0
6,0.155376667,0.012,0,0.108889,0.007112797,0
7,0.15369,0,0,0.34970925,0.011151602,0
8,0.15358,0,0,0.286539,0.003259631,0
9,0.157526667,0,0,0.017556,0.003537972,0
10,0.158155,0.012,0,0.007524,0.011260492,0
11,0.189491667,0.108,0,0.003762,0.005717952,0
12,0.199496667,0.072,0.1125,0.203984,0.007726513,0
13,0.201168333,0,0,0.15063675,0.00644945,0
14,0.277876667,0.24,0,0.0538175,0.005623382,0
15,0.300155,0.012,0,0.042427,0.000815715,0
16,0.225841667,0,0,0.01254,0.003866919,0
17,0.215726667,0,0,0,0.002681672,0
18,0.288558333,0.06,0,0.2414995,0.006526598,0
19,0.283693333,0.036,0.0125,0.103873,0.008246346,0
20,0.278666667,0,0,0.03317875,0.005205757,0
21,0.261753333,0,0,0.081301,0.006146979,0
22,0.243928333,0,0,0.02440075,0.006321707,0
23,0.163671667,0,0,0.0475475,0.00704959,0
24,0.141666667,0,0,0,0.010307787,0
25,0.142346667,0,0,0,0.010941956,0
26,0.145296667,0,0,0,0.013363305,0
27,0.141666667,0,0,0,0.01459075,0
28,0.143026667,0,0,0.001254,0.00814453,0
29,0.142156667,0,0,0.0513095,0.013715014,0
30,0.141876667,0,0,0.1501665,0.013975451,0
31,0.187076667,0,0,0.493031,0.013831707,0
32,0.215895,0,0,0.12074975,0.01136118,0
33,0.174291667,0,0,0.1426425,0,0
34,0.16614,0.168,0,0.195206,0.014643069,0
35,0.176041667,0.132,0,0.1464045,0.012808012,0
36,0.257236667,0.228,0,0.101365,0.011834588,0
37,0.328201667,0,0.0125,0.132506,0.012024107,0
38,0.272361667,0,0,0.16944675,0.01192338,0
39,0.229556667,0,0,0.11939125,0.010687766,0
40,0.217296667,0,0,0.193952,0.006757321,0
41,0.244366667,0,0,0.1576905,0.012439985,0
42,0.17846,0.048,0,0.36099525,0.006917084,0
43,0.309936667,0.204,0,0.1639605,0.009047743,0
44,0.362363333,0,0,0.1376265,0.006717012,0
45,0.323231667,0,0,0.130207,0.005914694,0
46,0.236066667,0,0,0.0525635,0.013639354,0
47,0.150056667,0,0,0,0.013183631,0
48,0.141666667,0,0,0,0.020114297,0
49,0.142166667,0,0,0,0.020011342,0
50,0.143481667,0,0,0,0.020151411,0
51,0.142951667,0,0,0,0.017838068,0
52,0.142876667,0,0,0.002508,0.002490011,0
53,0.149871667,0,0,0.2452615,0.003802536,0
54,0.147656667,0,0,0.37154975,0.015436555,0
55,0.144086667,0,0,0.1476585,0.010649915,0
56,0.154166667,0,0,0,0.019632941,0
57,0.161521667,0,0,0.005016,0.022493555,0
58,0.170508333,0.336,0,0.209,0.020572506,0
59,0.168301667,0.384,0,0.010032,0.018324094,0
60,0.279188333,0.072,0.025,0.1200705,0.016961079,0
61,0.259318333,0.024,0,0.07685975,0.015467592,0
62,0.448805,0,0,0.03558225,0.013803038,0
63,0.343598333,0,0,0.02805825,0.007941148,0
64,0.247985,0,0,0.01311475,0.012009651,0
65,0.22781,0,0,0.001254,0,0
66,0.267361667,0,0,0.021318,0.004835223,0
67,0.2916,0.024,0.125,0.0475475,0.01369988,0
68,0.354956667,0,0.0125,0.14196325,0.008865348,0
69,0.316443333,0,0,0.20581275,0.018910666,0
70,0.236426667,0,0,0.10946375,0.017847739,0
71,0.146806667,0,0,0,0.014469398,0
72,0.145726667,0,0,0,0.024241881,0
73,0.141666667,0,0,0.001254,0.023125827,0
74,0.141666667,0,0,0,0.024434385,0
75,0.141666667,0,0,0.0475475,0.026889515,0
76,0.14257,0,0,0,0.021157434,0
77,0.154876667,0,0,0.0638495,0.022622128,0
78,0.168166667,0,0,0.301587,0.011756137,0
79,0.14718,0,0,0.118921,0.011200541,0
80,0.219718333,0,0,0.017556,0.003915637,0
81,0.180911667,0,0,0.00935275,0,0
82,0.163996667,0.084,0,0.001254,0,0
83,0.230151667,0.048,0,0.003762,0.024324118,0
84,0.273903333,0.204,0.1,0.00627,0.023151512,0
85,0.198521667,0.144,0.0125,0.01254,0.020992233,0
86,0.206091667,0,0,0.0849585,0.018770714,0
87,0.269306667,0,0,0.02314675,0.005957171,0
88,0.234331667,0,0,0.002508,0.004879855,0
89,0.195371667,0,0,0.003762,0,0
90,0.186696667,0,0,0.106381,0.015422453,0
91,0.261158333,0.12,0.0375,0.10246225,0.018183353,0
92,0.318085,0.024,0,0.08103975,0.017870462,0
93,0.319791667,0,0,0.11865975,0.024028844,0
94,0.203265,0,0,0.0287375,0.021269659,0
95,0.153026667,0,0,0.003762,0.024252752,0
96,0.141666667,0,0,0,0.025246617,0
97,0.143706667,0,0,0,0.027778258,0
98,0.141666667,0,0,0,0.027862833,0
99,0.141666667,0,0,0,0.011929965,0
100,0.141666667,0,0,0,0.029065019,0
101,0.146166667,0,0,0.008778,0,0
102,0.141736667,0,0,0.205238,0.011447463,0
103,0.144666667,0,0,0.300333,0.010764464,0
104,0.15893,0,0,0.03056625,0,0
105,0.238076667,0,0,0.102619,0,0
106,0.30718,0,0,0.003762,0,0
107,0.303086667,0.024,0,0.20273,0.034838587,0
108,0.331535,0.024,0.1,0.015048,0.032369811,0
109,0.246431667,0,0,0.0274835,0.029228015,0
110,0.238206667,0,0,0.041173,0.027144947,0
111,0.210171667,0,0,0.0337535,0.01795353,0
112,0.198661667,0,0,0.096349,0,0
113,0.205896667,0,0,0.003762,0,0
114,0.376501667,0.216,0,0.102619,0.007272911,0
115,0.289846667,0.204,0,0.01436875,0.007371969,0
116,0.232541667,0,0,0.160094,0.021610302,0
117,0.238306667,0,0,0.080047,0.018093514,0
118,0.175488333,0,0,0.096349,0.024987075,0
119,0.147173333,0,0,0,0.033531775,0
120,0.142271667,0,0,0,0.036918907,0
121,0.141666667,0,0,0,0.038674572,0
122,0.145746667,0,0,0.001254,0.038344125,0
123,0.141666667,0,0,0,0.03551891,0
124,0.142346667,0,0,0.096349,0.022418916,0
125,0.141666667,0,0,0.101365,0.020934658,0
126,0.179101667,0,0,0.3604205,0.038439081,0
127,0.170153333,0,0,0.2490235,0.032924471,0
128,0.157978333,0,0,0.19646,0.029622294,0
129,0.157971667,0,0,0.195206,0,0
130,0.201465,0.024,0.025,0.01254,0.022711946,0
131,0.277151667,0.012,0,0.020064,0.0316919,0
132,0.291523333,0.036,0,0.112651,0.031455167,0
133,0.321943333,0.024,0,0.044935,0.030900838,0
134,0.38279,0,0,0.04300175,0.030193096,0
135,0.271263333,0,0,0.002508,0.028977711,0
136,0.266876667,0,0,0.1438965,0.02505709,0
137,0.262783333,0,0,0.198968,0.005464896,0
138,0.187485,0,0,0.206492,0.018620981,0
139,0.220656667,0,0,0.198968,0.006255048,0
140,0.2917,0,0,0.12566125,0.003365011,0
