,ConBase,ConStove,ConOven,ConDHW,Qheat,Qcool
0,0.145595,0,0,0,0,0
1,0.142271667,0,0,0,0.013150695,0
2,0.141666667,0,0,0.0475475,0.012052144,0
3,0.142951667,0,0,0,0.010667897,0
4,0.143776667,0,0,0.098857,0.001046454,0
5,0.141736667,0,0,0.1501665,0,0
6,0.145901667,0,0,0.118921,0.007112797,0
7,0.149506667,0,0,0.286539,0.011151602,0
8,0.159276667,0,0,0.19019,0.003259631,0
9,0.173533333,0,0,0.00809875,0.003537972,0
10,0.210581667,0,0,0.0500555,0.011260492,0
11,0.210218333,0.204,0,0.105127,0.005717952,0
12,0.338875,0.264,0.15,0.212762,0.007726513,0
13,0.3582,0.276,0.0375,0.15701125,0.00644945,0
14,0.3259,0,0,0.1624975,0.005623382,0
15,0.296506667,0,0,0.1838155,0.000815715,0
16,0.311478333,0,0,0.01060675,0.003866919,0
17,0.223981667,0,0,0.10319375,0.002681672,0
18,0.276816667,0.024,0,0.007524,0.006526598,0
19,0.358251667,0.096,0,0.101365,0.008246346,0
20,0.462778333,0,0,0.15439875,0.005205757,0
21,0.396368333,0,0,0.329558167,0.006146979,0
22,0.290535,0,0,0.0425315,0.006321707,0
23,0.180053333,0,0,0.095095,0.00704959,0
24,0.145076667,0,0,0,0.010307787,0
25,0.142346667,0,0,0.095095,0.010941956,0
26,0.161471667,0,0,0.095095,0.013363305,0
27,0.161911667,0,0,0.1514205,0.01459075,0
28,0.16338,0,0,0.2402455,0.00814453,0
29,0.143691667,0,0,0.1489125,0.013715014,0
30,0.142271667,0,0,0.25837625,0.013975451,0
31,0.155935,0,0,0.36784,0.013831707,0
32,0.187648333,0,0,0.026334,0.01136118,0
33,0.194946667,0,0,0.10570175,0,0
34,0.166191667,0.216,0,0.1472405,0.014643069,0
35,0.174766667,0.024,0,0.201476,0.012808012,0
36,0.264166667,0.132,0,0.010032,0.011834588,0
37,0.51732,0.06,0,0.05063025,0.012024107,0
38,0.48713,0,0,0.0375155,0.01192338,0
39,0.42872,0,0,0.00809875,0.010687766,0
40,0.29462,0,0,0.11447975,0.006757321,0
41,0.26618,0,0,0.1576905,0.012439985,0
42,0.288075,0,0,0.25336025,0.006917084,0
43,0.357665,0.108,0,0.361152,0.009047743,0
44,0.433036667,0,0,0.224135083,0.006717012,0
45,0.44727,0,0,0.22619025,0.005914694,0
46,0.32391,0,0,0.341000917,0.013639354,0
47,0.164435,0,0,0.003762,0.013183631,0
48,0.142666667,0,0,0,0.020114297,0
49,0.143026667,0,0,0,0.020011342,0
50,0.143481667,0,0,0,0.020151411,0
51,0.141666667,0,0,0.0525635,0.017838068,0
52,0.141666667,0,0,0.0500555,0.002490011,0
53,0.146411667,0,0,0.203984,0.003802536,0
54,0.157796667,0,0,0.47234,0.015436555,0
55,0.144745,0,0,0.0488015,0.010649915,0
56,0.221851667,0,0,0.01881,0.019632941,0
57,0.239808333,0,0,0.003762,0.022493555,0
58,0.341445,0.132,0,0.217778,0.020572506,0
59,0.24568,0.084,0,0.25085225,0.018324094,0
60,0.279136667,0.372,0.2,0.30090775,0.016961079,0
61,0.220986667,0.132,0.0125,0.25586825,0.015467592,0
62,0.286623333,0,0,0.05512375,0.013803038,0
63,0.263688333,0,0,0.01186075,0.007941148,0
64,0.254333333,0,0,0.0237215,0.012009651,0
65,0.265036667,0.036,0,0.107635,0,0
66,0.337998333,0.18,0,0.01254,0.004835223,0
67,0.306223333,0.48,0.2,0.113905,0.01369988,0
68,0.265351667,0.216,0,0.25325575,0.008865348,0
69,0.314516667,0,0,0.1100385,0.018910666,0
70,0.22788,0,0,0.27426025,0.017847739,0
71,0.146991667,0,0,0.0475475,0.014469398,0
72,0.148266667,0,0,0,0.024241881,0
73,0.142271667,0,0,0,0.023125827,0
74,0.141666667,0,0,0,0.024434385,0
75,0.142271667,0,0,0.001254,0.026889515,0
76,0.141666667,0,0,0,0.021157434,0
77,0.144691667,0,0,0.341297,0.022622128,0
78,0.152546667,0,0,0.594396,0.011756137,0
79,0.151741667,0,0,0.1614525,0.011200541,0
80,0.174466667,0,0.025,0.00627,0.003915637,0
81,0.157091667,0,0,0.017556,0,0
82,0.25479,0.084,0.0625,0.1664685,0,0
83,0.283566667,0.18,0.025,0.00627,0.024324118,0
84,0.246553333,0.156,0.1125,0.02508,0.023151512,0
85,0.248891667,0.012,0.0125,0.1574815,0.020992233,0
86,0.294315,0.024,0,0.0774345,0.018770714,0
87,0.28596,0,0,0.01604075,0.005957171,0
88,0.276433333,0.024,0,0.01562275,0.004879855,0
89,0.276238333,0.204,0,0.01311475,0,0
90,0.255531667,0.024,0,0.002508,0.015422453,0
91,0.4186,0.06,0.0625,0.02299,0.018183353,0
92,0.353166667,0,0.025,0.241395,0.017870462,0
93,0.326248333,0,0,0.1875775,0.024028844,0
94,0.218285,0,0,0.0299915,0.021269659,0
95,0.150625,0,0,0.0588335,0.024252752,0
96,0.141666667,0,0,0,0.025246617,0
97,0.141666667,0,0,0,0.027778258,0
98,0.141666667,0,0,0.095095,0.027862833,0
99,0.141666667,0,0,0,0.011929965,0
100,0.144386667,0,0,0,0.029065019,0
101,0.144086667,0,0,0.206492,0,0
102,0.149555,0,0,0.39919,0.011447463,0
103,0.165086667,0,0,0.3441185,0.010764464,0
104,0.158191667,0,0,0.013794,0,0
105,0.167388333,0,0,0.095095,0,0
106,0.158025,0,0,0.1551825,0,0
107,0.220776667,0.06,0,0.010032,0.034838587,0
108,0.333438333,0.072,0.0375,0.11447975,0.032369811,0
109,0.432098333,0.06,0.0125,0.20570825,0.029228015,0
110,0.445986667,0,0,0.0908105,0.027144947,0
111,0.327283333,0,0,0.1138005,0.01795353,0
112,0.27063,0,0,0.003762,0,0
113,0.30146,0,0,0.05815425,0,0
114,0.531803333,0.324,0,0.08281625,0.007272911,0
115,0.33772,0.24,0,0.0209,0.007371969,0
116,0.331578333,0,0,0.14405325,0.021610302,0
117,0.33234,0,0,0.3501795,0.018093514,0
118,0.201436667,0,0,0.10570175,0.024987075,0
119,0.149981667,0,0,0,0.033531775,0
120,0.144311667,0,0,0,0.036918907,0
121,0.141666667,0,0,0,0.038674572,0
122,0.143026667,0,0,0,0.038344125,0
123,0.141666667,0,0,0,0.03551891,0
124,0.142166667,0,0,0.097603,0.022418916,0
125,0.143166667,0,0,0.200222,0.020934658,0
126,0.150926667,0,0,0.51366975,0.038439081,0
127,0.161566667,0,0,0.2527855,0.032924471,0
128,0.234625,0,0,0.26213825,0.029622294,0
129,0.280516667,0,0,0.12200375,0,0
130,0.224246667,0,0,0.12451175,0.022711946,0
131,0.213243333,0.024,0.025,0.028842,0.0316919,0
