,ConBase,ConStove,ConOven,ConDHW,Qheat,Qcool
0,0.149001667,0,0,0.002508,0,0
1,0.153981667,0,0,0,0.013150695,0
2,0.151191667,0,0,0.095095,0.012052144,0
3,0.188415,0,0,0.1589445,0.010667897,0
4,0.196223333,0,0,0.207746,0.001046454,0
5,0.186298333,0,0,0.407968,0,0
6,0.198951667,0,0,0.410476,0.007112797,0
7,0.171801667,0,0,0.222794,0.011151602,0
8,0.16048,0,0,0.097603,0.003259631,0
9,0.178615,0,0,0.01938475,0.003537972,0
10,0.16139,0,0,0.074003417,0.011260492,0
11,0.186065,0.156,0,0.011286,0.005717952,0
12,0.258521667,0.012,0.025,0.02440075,0.007726513,0
13,0.281381667,0,0.0375,0.2839265,0.00644945,0
14,0.31765,0,0,0.057475,0.005623382,0
15,0.310246667,0,0,0.0262295,0.000815715,0
16,0.178936667,0,0,0.027588,0.003866919,0
17,0.26875,0.012,0,0.01045,0.002681672,0
18,0.351563333,0.036,0,0.02314675,0.006526598,0
19,0.36652,0.036,0,0.133969,0.008246346,0
20,0.38655,0,0,0.22702625,0.005205757,0
21,0.517251667,0,0,0.37520725,0.006146979,0
22,0.291048333,0,0,0.306568167,0.006321707,0
23,0.149871667,0,0,0.000418,0.00704959,0
24,0.143726667,0,0,0,0.010307787,0
25,0.149591667,0,0,0,0.010941956,0
26,0.147716667,0,0,0,0.013363305,0
27,0.145956667,0,0,0.001254,0.01459075,0
28,0.156886667,0,0,0.026334,0.00814453,0
29,0.165911667,0,0,0.28345625,0.013715014,0
30,0.144551667,0,0,0.3478805,0.013975451,0
31,0.146366667,0,0,0.2565475,0.013831707,0
32,0.181676667,0,0,0.115159,0.01136118,0
33,0.250491667,0,0.0375,0.096349,0,0
34,0.308473333,0,0,0.101365,0.014643069,0
35,0.33608,0.12,0.0875,0.015048,0.012808012,0
36,0.396671667,0.288,0.1625,0.010032,0.011834588,0
37,0.605426667,0.036,0,0.189981,0.012024107,0
38,0.686068333,0,0,0.105370833,0.01192338,0
39,0.525818333,0,0,0.10444775,0.010687766,0
40,0.320576667,0,0,0.0525635,0.006757321,0
41,0.304208333,0,0.025,0.036366,0.012439985,0
42,0.333326667,0,0,0.053922,0.006917084,0
43,0.469466667,0.156,0,0.2929135,0.009047743,0
44,0.405476667,0.012,0,0.39725675,0.006717012,0
45,0.493425,0,0,0.2101495,0.005914694,0
46,0.395461667,0,0,0.09744625,0.013639354,0
47,0.179526667,0,0,0.003762,0.013183631,0
48,0.142951667,0,0,0,0.020114297,0
49,0.147786667,0,0,0,0.020011342,0
50,0.142346667,0,0,0.00627,0.020151411,0
51,0.145746667,0,0,0.0500555,0.017838068,0
52,0.142166667,0,0,0.1438965,0.002490011,0
53,0.150021667,0,0,0.485507,0.003802536,0
54,0.145331667,0.012,0,0.578721,0.015436555,0
55,0.150705,0,0,0.0625955,0.010649915,0
56,0.141876667,0,0,0.00627,0.019632941,0
57,0.15461,0,0,0.105127,0.022493555,0
58,0.250701667,0.132,0.0625,0.12492975,0.020572506,0
59,0.351875,0.168,0.0125,0.1627065,0.018324094,0
60,0.425113333,0.144,0.275,0.115159,0.016961079,0
61,0.457438333,0.012,0.1625,0.2538305,0.015467592,0
62,0.442101667,0,0,0.39339025,0.013803038,0
63,0.328818333,0,0,0.046189,0.007941148,0
64,0.277226667,0,0,0.102619,0.012009651,0
65,0.297058333,0.036,0,0.112651,0,0
66,0.331535,0.132,0,0.105127,0.004835223,0
67,0.39142,0.192,0.025,0.37217675,0.01369988,0
68,0.53678,0,0,0.2139115,0.008865348,0
69,0.564093333,0,0,0.657723,0.018910666,0
70,0.435236667,0,0,0.267729,0.017847739,0
71,0.204266667,0,0,0.095095,0.014469398,0
72,0.172506667,0,0,0.00935275,0.024241881,0
73,0.142271667,0,0,0,0.023125827,0
74,0.141666667,0,0,0,0.024434385,0
75,0.141736667,0,0,0.001254,0.026889515,0
76,0.141666667,0,0,0.002508,0.021157434,0
77,0.144901667,0,0,0.3503885,0.022622128,0
78,0.198476667,0,0,0.3754685,0.011756137,0
79,0.211206667,0,0,0.39292,0.011200541,0
80,0.208121667,0,0.0125,0.127699,0.003915637,0
81,0.197855,0,0,0.00627,0,0
82,0.183016667,0.012,0,0.008778,0,0
83,0.316388333,0.024,0.05,0.010032,0.024324118,0
84,0.389183333,0.408,0.2375,0.2895695,0.023151512,0
85,0.385735,0.024,0.125,0.46591325,0.020992233,0
86,0.47318,0,0,0.200013,0.018770714,0
87,0.441693333,0,0,0.04153875,0.005957171,0
88,0.30198,0,0,0.03568675,0.004879855,0
89,0.25292,0,0,0.10444775,0,0
90,0.28407,0.036,0,0.390412,0.015422453,0
91,0.429176667,0.12,0,0.1890405,0.018183353,0
92,0.429403333,0.168,0,0.235125,0.017870462,0
93,0.408725,0,0,0.20445425,0.024028844,0
94,0.338371667,0,0,0.27175225,0.021269659,0
95,0.170931667,0,0,0.0475475,0.024252752,0
96,0.141666667,0,0,0,0.025246617,0
97,0.144691667,0,0,0,0.027778258,0
98,0.156631667,0,0,0.095095,0.027862833,0
99,0.166146667,0,0,0.1426425,0.011929965,0
100,0.1806,0,0,0.2444255,0.029065019,0
101,0.163718333,0,0,0.266544667,0,0
102,0.144826667,0,0,0.45609025,0.011447463,0
103,0.153871667,0,0,0.3397295,0.010764464,0
104,0.250001667,0,0,0.0826595,0,0
105,0.217291667,0,0,0.008778,0,0
106,0.226745,0.204,0.025,0.193952,0,0
107,0.25128,0.144,0.1,0.19646,0.034838587,0
108,0.440065,0.492,0.25,0.0663575,0.032369811,0
109,0.352123333,0.048,0,0.35524775,0.029228015,0
