,Med,Eur,Pot4kw,EK,Nek,C1500,C1520,C2025,C2500,C3000,HEATING,COOLING
3520,0.2402,0.127,0.21593604,0.2334711,0.2445028,0.137394,0.201330435,0.274572396,0.378418151,0.465431667,0,0
3521,0.1811,0.127,0.169146581,0.1868201,0.1985912,0.125654,0.155608152,0.22498316,0.283314897,0.438236667,0,0
3522,0.239,0.127,0.210606695,0.2274459,0.2328104,0.166384,0.203550932,0.282014149,0.317559418,0.37647,0,0
3523,0.2898,0.127,0.256469658,0.2966649,0.264935,0.220461,0.257713432,0.316067795,0.401849829,0.434115,0,0
3524,0.3637,0.224,0.289379487,0.3520055,0.3055636,0.25366,0.307469876,0.396536024,0.457876027,0.49685,0,0
3525,0.2642,0.224,0.243558832,0.2820551,0.2606624,0.178094,0.236594099,0.304724132,0.39937637,0.381931667,0,0
3526,0.2777,0.224,0.266791453,0.2855047,0.2860924,0.175658,0.242630124,0.322467274,0.446464384,0.455216667,0,0
3527,0.2026,0.224,0.197667521,0.2009204,0.2026367,0.12546,0.17267927,0.236450608,0.30560274,0.380636667,0,0
3528,0.1283,0.127,0.117519516,0.1218324,0.1201027,0.093176,0.11003191,0.148063108,0.174016438,0.241726667,0,0
3529,0.1073,0.127,0.100182906,0.1094251,0.1061685,0.089396,0.099333463,0.127181337,0.148405822,0.216726667,0,0
3530,0.0987,0.084,0.097006125,0.0997431,0.0981475,0.089094,0.097520575,0.113682899,0.126998973,0.146221667,0,0
3531,0.0978,0.084,0.096420798,0.0980636,0.0976792,0.088915,0.097488354,0.112434288,0.125504795,0.144658333,0,0
3532,0.0979,0.084,0.096688604,0.0987597,0.0981575,0.088952,0.09780955,0.112515538,0.128740582,0.151206667,0,0
3533,0.1826,0.084,0.184733618,0.1836623,0.185083,0.174101,0.182254425,0.198442535,0.213782192,0.233133333,0,0
3534,0.1857,0.084,0.189068091,0.189401,0.1891466,0.175696,0.184932453,0.203687326,0.232759075,0.26876,0,0
3535,0.1357,0.084,0.132157977,0.1386344,0.1350887,0.114848,0.130014829,0.15613776,0.169597089,0.181876667,0,0
3536,0.1185,0.084,0.113736895,0.1168213,0.1177896,0.095936,0.11852368,0.13652474,0.147901199,0.186426667,0,0
3537,0.1677,0.127,0.164756268,0.1667154,0.1686813,0.144121,0.16547104,0.189089497,0.197980137,0.211188333,0,0
3538,0.1889,0.127,0.174439744,0.1792027,0.1780447,0.151151,0.177006211,0.204294965,0.224221918,0.230561667,0,0
3539,0.216,0.224,0.199042735,0.2457206,0.2094706,0.169261,0.216949379,0.250419618,0.277029623,0.268868333,0,0
3540,0.2859,0.224,0.212924501,0.329753,0.2437342,0.177766,0.258609317,0.329332899,0.356223116,0.319591667,0,0
3541,0.3462,0.224,0.228204558,0.3767522,0.2531566,0.161489,0.271415916,0.401059462,0.542730993,0.555515,0,0
3542,0.3291,0.224,0.232345584,0.3027467,0.2626804,0.152686,0.247546196,0.369985851,0.500646233,0.59224,0,0
3543,0.3068,0.127,0.250428917,0.3072577,0.2673,0.164503,0.238573835,0.36484592,0.443735788,0.535928333,0,0
3544,0.29,0.127,0.243440313,0.2902613,0.2640824,0.171958,0.238286957,0.338182813,0.413441952,0.514858333,0,0
3545,0.217,0.127,0.167594017,0.2005935,0.1812608,0.126389,0.170579736,0.229211198,0.325383904,0.405408333,0,0
3546,0.261,0.127,0.226717236,0.2823357,0.2320161,0.190162,0.23687795,0.285693229,0.395830651,0.426525,0,0
3547,0.3392,0.224,0.3125651,0.3640695,0.3168867,0.250124,0.314670807,0.409886198,0.452875685,0.406121667,0,0.001418485
3548,0.4077,0.224,0.35843661,0.4090188,0.3626033,0.24383,0.333954425,0.466854514,0.553496747,0.631031667,0,2.86E-05
3549,0.2846,0.224,0.248499858,0.2809659,0.2672346,0.174942,0.24433486,0.326582378,0.374769692,0.456498333,0,0.001188236
3550,0.3,0.224,0.265781197,0.2796079,0.2795726,0.17331,0.244385248,0.334488889,0.424659589,0.466358333,0,0.000427467
3551,0.2069,0.127,0.179618519,0.187643,0.1883249,0.126704,0.164368556,0.232457031,0.305769007,0.355441667,0,0.00048944
3552,0.1188,0.127,0.107962108,0.1130398,0.1118033,0.093532,0.105956444,0.135796007,0.16645411,0.187435,0,0
3553,0.1091,0.084,0.098113105,0.1019111,0.1093553,0.090727,0.098377717,0.121495573,0.164891781,0.147926667,0,0
3554,0.099,0.084,0.097213105,0.0984039,0.0989281,0.089406,0.097911025,0.113023785,0.127270377,0.144003333,0,0
3555,0.0979,0.084,0.096952849,0.0982451,0.0983445,0.089127,0.09758354,0.112857813,0.124891438,0.1436,0,0
3556,0.0992,0.084,0.098755271,0.0992423,0.0995431,0.089791,0.097433618,0.115441319,0.126161644,0.14607,0,0
3557,0.1853,0.084,0.182993305,0.1846787,0.1837312,0.173447,0.181733385,0.200801997,0.213967637,0.228156667,0,0
3558,0.1474,0.084,0.143597721,0.1478076,0.1451689,0.132119,0.142023758,0.165493403,0.175467808,0.186755,0,0.002433349
3559,0.114,0.084,0.112005413,0.112131,0.1154798,0.104046,0.102938587,0.134837326,0.156109075,0.185713333,0,0
3560,0.1232,0.127,0.11865,0.1230585,0.1224688,0.100346,0.111578494,0.148444618,0.170948801,0.177331667,0,0
3561,0.148,0.127,0.122450285,0.1341873,0.1347923,0.111576,0.138008307,0.15980651,0.164788699,0.187155,0,0
3562,0.1958,0.224,0.168391453,0.1927804,0.1788037,0.1593,0.189326165,0.205511632,0.230959589,0.221066667,0,0
3563,0.2637,0.224,0.201320228,0.2941711,0.2140375,0.182477,0.235255357,0.296582812,0.35723887,0.35896,0,0
3564,0.3112,0.224,0.240198575,0.4004977,0.2473644,0.185119,0.278203804,0.388979601,0.501530479,0.402803333,0,0
3565,0.4004,0.224,0.29960812,0.4323366,0.3027083,0.225294,0.326370264,0.462474566,0.529392295,0.647888333,0,0
3566,0.3151,0.127,0.271071225,0.2989114,0.2763411,0.187514,0.252987733,0.358315191,0.456858048,0.51214,0,0
3567,0.2966,0.127,0.266525499,0.2957241,0.2784979,0.171906,0.237696661,0.349989063,0.447645034,0.501873333,0,0
3568,0.2268,0.127,0.237032051,0.2472148,0.2465553,0.151523,0.19178455,0.286133941,0.38859726,0.490423333,0,0
3569,0.2299,0.127,0.220008974,0.2396625,0.2305438,0.167782,0.197844177,0.255027951,0.385575342,0.541598333,0,0
